id,year_birth,education,marital_status,income,kidhome,teenhome,dt_customer,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth,response,complain,age,Total_Spending,Age_Group,Total_Purchases,mnttotal,YearMonth
2285,1954,Master,Single,36634.0,0,1,2013-05-28,0,213,9,76,4,3,30,3,5,2,5,7,0,0,71,335,70s,12,335,2013-05
115,1966,Master,Single,43456.0,0,1,2013-03-26,0,275,11,68,25,7,7,3,5,1,8,5,0,0,59,393,50s,14,393,2013-03
10470,1979,Master,Married,40662.0,1,0,2013-03-15,0,40,2,23,0,4,23,2,2,1,3,4,0,0,46,92,40s,6,92,2013-03
4065,1976,PhD,Married,49544.0,1,0,2013-12-02,0,308,0,73,0,0,23,2,5,1,8,7,0,0,49,404,40s,14,404,2013-12
10968,1969,Bachelor,Single,57731.0,0,1,2012-11-23,0,266,21,300,65,8,44,4,8,8,6,6,0,0,56,704,50s,22,704,2012-11
5985,1965,Master,Single,33168.0,0,1,2012-10-13,0,80,1,37,0,1,3,3,2,1,4,7,0,0,60,122,50s,7,122,2012-10
5430,1956,Bachelor,Single,54450.0,1,1,2012-09-14,0,454,0,171,8,19,32,12,9,2,8,8,0,0,69,684,60s,19,684,2012-09
8432,1956,Bachelor,Single,54450.0,1,1,2012-09-14,0,454,0,171,8,19,32,12,9,2,8,8,0,0,69,684,60s,19,684,2012-09
453,1956,PhD,Widow,35340.0,1,1,2014-06-29,1,27,0,12,0,1,5,2,2,0,3,5,0,0,69,45,60s,5,45,2014-06
9687,1975,Bachelor,Single,73170.0,0,0,2014-05-31,1,184,174,256,50,30,32,1,5,4,6,2,0,0,50,726,40s,15,726,2014-05
8890,1971,PhD,Divorced,65808.0,1,1,2014-05-30,1,155,7,80,13,7,10,3,5,1,5,6,0,0,54,272,50s,11,272,2014-05
9264,1986,Bachelor,Married,79529.0,0,0,2014-04-27,1,423,42,706,73,197,197,1,4,8,9,2,0,0,39,1638,30s,21,1638,2014-04
5824,1972,PhD,Single,34578.0,2,1,2014-11-04,1,7,0,1,0,0,0,1,1,0,2,6,0,0,53,8,50s,3,8,2014-11
5794,1974,PhD,Married,46374.0,0,1,2014-03-17,1,408,0,21,0,0,17,3,7,1,7,8,1,0,51,446,50s,15,446,2014-03
3068,1990,Bachelor,Married,18351.0,0,0,2013-10-29,1,1,12,9,0,14,7,1,2,0,3,7,0,0,35,43,30s,5,43,2013-10
7962,1987,PhD,Single,95169.0,0,0,2013-09-10,1,1285,21,449,106,20,20,1,4,3,4,1,1,0,38,1901,30s,11,1901,2013-09
2681,1984,Master,Married,65370.0,0,0,2013-01-08,1,71,22,112,138,89,29,1,2,3,13,1,0,0,41,461,40s,18,461,2013-01
10141,1960,Master,Divorced,39228.0,0,0,2013-10-05,1,7,1,6,0,3,3,1,0,0,3,4,0,0,65,20,60s,3,20,2013-10
3725,1961,PhD,Single,84865.0,0,0,2013-09-05,1,1248,16,349,43,16,16,1,2,4,9,4,1,0,64,1688,60s,15,1688,2013-09
3767,1968,Bachelor,Married,61314.0,0,1,2013-04-25,1,378,0,189,97,172,172,2,5,5,12,3,0,0,57,1008,50s,22,1008,2013-04
5585,1972,Bachelor,Single,21359.0,1,0,2013-04-20,1,12,2,17,6,1,10,2,2,0,3,8,1,0,53,48,50s,5,48,2013-04
7030,1955,PhD,Married,66465.0,0,1,2013-03-30,1,1200,0,204,38,29,14,3,11,9,12,6,0,0,70,1485,60s,32,1485,2013-03
1524,1983,Master,Single,81698.0,0,0,2013-01-03,1,709,45,115,30,160,45,1,8,2,5,5,1,0,42,1104,40s,15,1104,2013-01
3657,1986,Bachelor,Single,39146.0,1,0,2013-02-14,1,94,1,33,13,12,12,3,4,0,4,8,0,0,39,165,30s,8,165,2013-02
5740,1970,Master,Divorced,25959.0,1,1,2013-02-14,1,4,2,12,7,5,26,2,1,2,2,6,1,0,55,56,50s,5,56,2013-02
9595,1961,Bachelor,Single,64260.0,0,0,2013-11-01,1,539,169,816,20,0,30,1,4,5,4,3,1,0,64,1574,60s,13,1574,2013-11
3158,1973,Bachelor,Married,32300.0,1,0,2013-03-01,1,13,3,6,6,5,6,1,1,0,3,8,0,0,52,39,50s,4,39,2013-03
5114,1965,Master,Married,74806.0,0,1,2012-12-19,1,670,9,249,0,28,9,2,5,4,5,4,0,0,60,965,50s,14,965,2012-12
340,1970,Bachelor,Divorced,72967.0,0,1,2012-12-15,1,158,35,179,0,0,125,2,7,2,8,5,1,0,55,497,50s,17,497,2012-12
8805,1960,Bachelor,Single,48904.0,0,1,2012-02-12,1,283,10,38,0,13,27,4,7,2,4,8,0,0,65,371,60s,13,371,2012-02
1241,1984,Master,Married,14796.0,1,0,2012-09-17,1,13,3,8,7,4,16,2,1,0,3,9,1,0,41,51,40s,4,51,2012-09
1402,1954,Master,Married,66991.0,0,0,2012-11-09,1,496,36,460,189,60,12,3,4,8,6,3,0,0,71,1253,70s,18,1253,2012-11
7264,1978,Master,Single,52195.0,2,1,2014-12-05,2,12,0,4,0,0,1,1,1,0,2,8,0,0,47,17,40s,3,17,2014-12
1619,1956,Bachelor,Married,90369.0,0,0,2014-04-28,2,292,51,981,224,23,17,1,4,6,6,1,1,0,69,1588,60s,16,1588,2014-04
6398,1974,Basic,Married,18393.0,1,0,2014-03-29,2,7,10,13,16,0,4,2,3,0,3,8,0,0,51,50,50s,6,50,2014-03
1857,1952,Bachelor,Single,47139.0,1,1,2014-06-03,2,46,0,12,0,2,23,2,2,1,2,7,1,0,73,83,70s,5,83,2014-06
4877,1973,Master,Married,38576.0,0,1,2014-04-03,2,34,0,7,0,0,0,1,1,0,3,7,0,0,52,41,50s,4,41,2014-04
3066,1975,PhD,Single,61905.0,0,1,2014-04-02,2,167,0,43,6,2,13,2,4,2,4,5,0,0,50,231,40s,10,231,2014-04
10286,1962,Bachelor,Married,83715.0,0,0,2014-03-02,2,318,8,407,150,35,8,1,2,8,13,0,0,0,63,926,60s,23,926,2014-03
1992,1964,Bachelor,Married,60597.0,0,1,2014-01-01,2,522,0,257,32,16,66,4,2,2,8,7,1,0,61,893,60s,12,893,2014-01
4246,1982,Master,Single,6560.0,0,0,2013-12-12,2,67,11,26,4,3,262,0,1,0,1,17,0,0,43,373,40s,2,373,2013-12
10623,1961,Master,Single,48330.0,0,1,2013-11-15,2,28,0,4,0,0,0,1,1,0,3,5,0,0,64,32,60s,4,32,2013-11
4867,1968,PhD,Single,38236.0,1,1,2013-09-20,2,58,0,18,2,0,10,4,3,0,4,7,0,0,57,88,50s,7,88,2013-09
3112,1977,Master,Married,22701.0,1,0,2013-05-09,2,2,4,9,0,4,5,1,1,0,3,5,0,0,48,24,40s,4,24,2013-05
4865,1974,Master,Divorced,53367.0,1,1,2013-08-31,2,229,7,140,10,3,11,7,5,1,8,7,1,0,51,400,50s,14,400,2013-08
6287,1986,Bachelor,Single,34728.0,1,0,2013-07-30,2,14,0,16,0,0,6,1,1,1,2,6,1,0,39,36,30s,4,36,2013-07
4405,1956,Master,Married,63915.0,0,2,2013-07-30,2,622,7,115,30,0,15,2,6,3,12,5,0,0,69,789,60s,21,789,2013-07
5332,1960,Master,Married,82504.0,0,0,2013-07-27,2,362,50,431,134,35,54,1,3,6,7,1,0,0,65,1066,60s,16,1066,2013-07
1519,1972,PhD,Single,38578.0,1,1,2013-06-22,2,38,4,22,3,3,3,3,3,0,3,8,1,0,53,73,50s,6,73,2013-06
9080,1972,PhD,Single,38578.0,1,1,2013-06-22,2,38,4,22,3,3,3,3,3,0,3,8,0,0,53,73,50s,6,73,2013-06
1772,1975,PhD,Married,79174.0,0,0,2013-11-01,2,1074,37,518,193,92,129,1,5,6,7,2,1,0,50,2043,40s,18,2043,2013-11
5341,1962,Master,Divorced,81975.0,0,1,2013-05-01,2,983,76,184,180,138,27,1,6,3,4,7,0,0,63,1588,60s,13,1588,2013-05
5510,1977,Master,Married,43263.0,0,1,2012-11-21,2,262,6,61,0,10,102,3,5,2,6,5,0,0,48,441,40s,13,441,2012-11
3887,1970,Bachelor,Single,27242.0,1,0,2012-11-11,2,3,17,26,20,1,39,2,2,0,3,9,1,0,55,106,50s,5,106,2012-11
7022,1971,Bachelor,Married,76445.0,1,0,2012-09-28,2,739,107,309,140,80,35,1,2,5,13,6,0,0,54,1410,50s,20,1410,2012-09
9999,1965,Bachelor,Single,75276.0,0,0,2012-09-27,2,610,105,125,137,42,21,1,9,4,9,5,0,0,60,1040,50s,22,1040,2012-09
10352,1963,Bachelor,Widow,34213.0,1,1,2012-07-09,2,50,4,28,6,3,26,3,3,1,2,9,1,0,62,117,60s,6,117,2012-07
7919,1976,PhD,Single,72335.0,0,0,2012-08-13,2,1285,105,653,28,21,0,1,10,4,8,8,1,0,49,2092,40s,22,2092,2012-08
4114,1964,Master,Married,79143.0,0,0,2012-11-08,2,650,37,780,27,167,32,1,6,9,13,3,0,0,61,1693,60s,28,1693,2012-11
7990,1947,Bachelor,Married,27469.0,0,0,2012-02-08,2,9,1,2,3,2,0,1,0,0,3,6,0,0,78,17,70s,3,17,2012-02
9888,1969,Bachelor,Single,68695.0,0,0,2014-06-25,3,458,81,356,106,50,40,1,4,4,7,2,0,0,56,1091,50s,15,1091,2014-06
4399,1969,Bachelor,Single,68695.0,0,0,2014-06-25,3,458,81,356,106,50,40,1,4,4,7,2,0,0,56,1091,50s,15,1091,2014-06
4452,1957,Bachelor,Single,50388.0,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,1,0,68,372,60s,13,372,2014-05
4785,1970,PhD,Single,77622.0,0,2,2014-04-14,3,520,7,154,19,0,14,2,6,3,11,3,0,0,55,714,50s,20,714,2014-04
8461,1962,Bachelor,Divorced,46102.0,2,1,2014-10-03,3,14,0,1,0,0,1,1,1,0,2,7,0,0,63,16,60s,3,16,2014-10
3878,1980,Master,Single,31859.0,1,0,2014-02-27,3,3,4,7,15,8,11,1,1,0,3,7,0,0,45,48,40s,4,48,2014-02
9612,1987,Master,Single,23830.0,0,0,2014-07-02,3,1,8,6,4,8,16,1,1,0,3,7,0,0,38,43,30s,4,43,2014-07
4098,1973,Bachelor,Married,24639.0,1,1,2014-01-28,3,20,3,16,0,4,1,3,2,0,4,6,0,0,52,44,50s,6,44,2014-01
158,1945,PhD,Single,71604.0,0,0,2013-11-17,3,345,53,528,98,75,97,1,8,3,5,4,1,0,80,1196,70s,16,1196,2013-11
3896,1984,Bachelor,Married,27255.0,1,0,2013-07-11,3,22,1,11,0,1,2,1,1,0,3,7,0,0,41,37,40s,4,37,2013-07
9970,1977,Bachelor,Single,55375.0,0,1,2013-10-17,3,42,11,57,10,28,14,1,1,1,6,2,0,0,48,162,40s,8,162,2013-10
4002,1960,PhD,Married,77037.0,0,1,2013-10-13,3,463,96,333,168,53,10,1,7,7,12,3,0,0,65,1123,60s,26,1123,2013-10
10914,1970,Bachelor,Single,24163.0,1,1,2013-12-10,3,4,1,7,2,1,2,2,1,0,3,4,0,0,55,17,50s,4,17,2013-12
7279,1969,PhD,Single,69476.0,0,0,2013-09-30,3,260,86,559,63,9,67,1,4,6,4,2,0,0,56,1044,50s,14,1044,2013-09
10582,1979,Bachelor,Married,72063.0,0,1,2013-03-07,3,180,32,348,76,32,90,2,5,2,12,2,0,0,46,758,40s,19,758,2013-03
4470,1962,Master,Married,58646.0,0,1,2013-10-06,3,62,1,44,6,5,22,1,2,1,4,4,0,0,63,140,60s,7,140,2013-10
6183,1962,Master,Married,58646.0,0,1,2013-10-06,3,62,1,44,6,5,22,1,2,1,4,4,0,0,63,140,60s,7,140,2013-10
6379,1949,Master,Widow,47570.0,1,1,2013-05-29,3,67,1,20,0,2,31,3,2,2,2,7,1,0,76,121,70s,6,121,2013-05
8601,1980,Bachelor,Married,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,45,1395,40s,19,1395,2013-04
4827,1956,PhD,Single,54998.0,0,1,2013-10-03,3,154,22,202,39,30,8,5,4,2,9,4,1,0,69,455,60s,15,455,2013-10
6715,1948,PhD,Single,60200.0,0,1,2013-02-01,3,502,19,132,0,6,26,6,6,2,11,6,0,0,77,685,70s,19,685,2013-02
10676,1982,Bachelor,Married,63211.0,0,0,2012-02-11,3,145,193,459,205,26,145,2,3,8,7,2,1,0,43,1173,40s,18,1173,2012-02
1041,1973,PhD,Single,48432.0,0,1,2012-10-18,3,322,3,50,4,3,42,5,7,1,6,8,1,0,52,424,50s,14,424,2012-10
492,1973,PhD,Single,48432.0,0,1,2012-10-18,3,322,3,50,4,3,42,5,7,1,6,8,0,0,52,424,50s,14,424,2012-10
11133,1973,PhD,Single,48432.0,0,1,2012-10-18,3,322,3,50,4,3,42,5,7,1,6,8,1,0,52,424,50s,14,424,2012-10
4491,1949,Master,Married,62845.0,1,1,2012-01-10,3,1099,0,45,0,0,34,11,3,4,10,8,0,0,76,1178,70s,17,1178,2012-01
873,1949,Master,Married,62845.0,1,1,2012-01-10,3,1099,0,45,0,0,34,11,3,4,10,8,1,0,76,1178,70s,17,1178,2012-01
1631,1965,PhD,Single,65220.0,0,0,2012-03-09,3,890,63,292,0,25,12,4,8,4,7,6,1,0,60,1282,50s,19,1282,2012-03
8278,1990,PhD,Married,74214.0,0,0,2012-08-26,3,863,83,547,86,99,33,1,8,2,5,5,0,0,35,1711,30s,15,1711,2012-08
6815,1980,Master,Married,96547.0,0,0,2014-05-23,4,448,21,125,52,101,62,0,7,6,8,2,1,0,45,809,40s,21,809,2014-05
254,1955,Bachelor,Single,53863.0,0,1,2014-05-17,4,399,4,30,6,4,30,3,7,1,7,7,0,0,70,473,60s,15,473,2014-05
1349,1970,Bachelor,Married,50447.0,2,0,2014-04-21,4,85,7,24,2,3,27,1,3,1,3,6,0,0,55,148,50s,7,148,2014-04
2534,1953,Bachelor,Married,37716.0,0,1,2014-04-21,4,97,1,41,6,2,41,2,4,1,3,7,0,0,72,188,70s,8,188,2014-04
2130,1982,Bachelor,Single,45203.0,2,0,2014-03-23,4,35,3,67,10,8,24,1,3,1,3,6,1,0,43,147,40s,7,147,2014-03
2296,1975,Master,Married,37368.0,1,0,2013-12-16,4,3,2,11,2,2,10,1,1,0,2,6,0,0,50,30,40s,3,30,2013-12
3799,1955,Bachelor,Married,67225.0,0,1,2013-11-26,4,315,35,322,46,7,143,3,7,2,11,5,0,0,70,868,60s,20,868,2013-11
11084,1976,Master,Single,65104.0,0,1,2013-11-14,4,738,0,232,13,20,50,2,3,5,7,7,1,0,49,1053,40s,15,1053,2013-11
5172,1976,Master,Single,65104.0,0,1,2013-11-14,4,738,0,232,13,20,50,2,3,5,7,7,0,0,49,1053,40s,15,1053,2013-11
9504,1949,Master,Married,81698.0,0,0,2013-06-11,4,179,28,520,111,123,47,1,3,8,13,1,1,0,76,1008,70s,24,1008,2013-06
850,1968,Bachelor,Single,70566.0,0,1,2013-06-10,4,381,28,215,84,28,21,2,6,5,9,3,0,0,57,757,50s,20,757,2013-06
4477,1958,Bachelor,Single,69096.0,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,67,653,60s,17,653,2013-09
1945,1962,Bachelor,Married,71434.0,0,1,2013-09-18,4,711,36,217,172,96,168,3,7,4,7,4,0,0,63,1400,60s,18,1400,2013-09
7685,1978,Bachelor,Married,33039.0,1,0,2013-09-09,4,30,8,12,8,8,12,1,2,0,4,5,0,0,47,78,40s,6,78,2013-09
6310,1978,Bachelor,Married,33039.0,1,0,2013-09-09,4,30,8,12,8,8,12,1,2,0,4,5,0,0,47,78,40s,6,78,2013-09
10832,1958,Bachelor,Single,46610.0,0,0,2013-07-18,4,288,10,30,4,10,125,1,6,1,6,6,0,0,67,467,60s,13,467,2013-07
3025,1958,Bachelor,Single,49967.0,0,1,2013-08-07,4,212,6,69,4,12,3,3,6,1,5,7,0,0,67,306,60s,12,306,2013-08
2404,1976,Bachelor,Married,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,49,257,40s,10,257,2013-05
8581,1971,Master,Married,49505.0,1,1,2013-05-03,4,604,0,100,19,0,28,9,10,2,8,8,0,0,54,751,50s,20,751,2013-05
8755,1946,Master,Married,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,79,1196,70s,17,1196,2013-02
10177,1954,Bachelor,Divorced,72071.0,0,1,2013-02-14,4,531,69,300,150,138,150,3,5,4,8,2,0,0,71,1338,70s,17,1338,2013-02
2429,1954,Bachelor,Divorced,72071.0,0,1,2013-02-14,4,531,69,300,150,138,150,3,5,4,8,2,0,0,71,1338,70s,17,1338,2013-02
8920,1967,Master,Single,59235.0,1,0,2013-12-01,4,448,40,469,80,0,91,3,11,2,12,7,0,0,58,1128,50s,25,1128,2013-12
8430,1957,Bachelor,Single,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,68,22,60s,3,22,2012-12
8619,1957,Bachelor,Single,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,68,22,60s,3,22,2012-12
7233,1972,Bachelor,Married,69209.0,0,0,2012-09-17,4,496,32,849,229,48,128,2,5,3,6,4,0,0,53,1782,50s,14,1782,2012-09
6678,1989,Bachelor,Single,31928.0,1,0,2014-03-28,5,33,4,24,4,2,5,2,3,0,4,7,0,0,36,72,30s,7,72,2014-03
830,1987,PhD,Single,74004.0,0,0,2014-02-24,5,784,48,560,42,176,48,1,4,6,4,3,1,0,38,1658,30s,14,1658,2014-02
6365,1987,Master,Married,30390.0,0,0,2013-02-09,5,10,12,12,25,1,20,1,2,0,3,6,0,0,38,80,30s,5,80,2013-02
6770,1985,Bachelor,Married,21355.0,1,0,2013-08-20,5,5,13,14,0,5,31,2,2,1,2,6,1,0,40,68,30s,5,68,2013-08
2261,1969,Bachelor,Married,26304.0,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,56,16,50s,3,16,2013-06
1031,1989,Master,Married,85710.0,0,0,2013-05-05,5,600,20,350,29,30,33,1,6,9,10,2,0,0,36,1062,30s,25,1062,2013-05
10089,1974,Bachelor,Divorced,102692.0,0,0,2013-05-04,5,168,148,444,32,172,148,1,6,9,13,2,1,0,51,1112,50s,28,1112,2013-05
9256,1971,Bachelor,Single,58350.0,0,1,2013-04-01,5,493,26,206,116,80,80,4,8,3,12,6,0,0,54,1001,50s,23,1001,2013-04
10641,1978,Bachelor,Single,7500.0,1,1,2012-12-27,5,6,5,4,13,4,25,4,2,1,3,6,0,0,47,57,40s,6,57,2012-12
624,1984,Master,Single,18890.0,0,0,2012-10-11,5,6,4,1,7,2,15,1,0,1,2,6,1,0,41,35,40s,3,35,2012-10
4211,1986,Basic,Married,20425.0,1,0,2012-10-29,5,4,12,5,3,16,17,2,2,0,3,7,0,0,39,57,30s,5,57,2012-10
1407,1986,Basic,Married,20425.0,1,0,2012-10-29,5,4,12,5,3,16,17,2,2,0,3,7,0,0,39,57,30s,5,57,2012-10
10356,1957,PhD,Divorced,41437.0,1,1,2012-09-22,5,29,0,2,0,0,1,1,1,0,3,7,0,0,68,32,60s,4,32,2012-09
9323,1949,Master,Single,49912.0,0,1,2012-07-09,5,520,8,223,32,49,42,4,10,5,7,8,1,0,76,874,70s,22,874,2012-07
1146,1949,Master,Single,49912.0,0,1,2012-07-09,5,520,8,223,32,49,42,4,10,5,7,8,1,0,76,874,70s,22,874,2012-07
6343,1959,Bachelor,Married,79823.0,0,1,2014-03-31,6,835,73,380,114,73,43,1,6,9,7,2,0,0,66,1518,60s,22,1518,2014-03
8545,1954,Bachelor,Divorced,85683.0,0,0,2014-03-21,6,1296,17,311,45,69,51,1,2,4,10,1,1,0,71,1789,70s,16,1789,2014-03
8275,1965,PhD,Divorced,47025.0,1,1,2014-09-02,6,16,0,3,0,0,1,1,1,0,2,7,0,0,60,20,50s,3,20,2014-09
10673,1976,PhD,Married,68397.0,0,1,2013-11-17,6,760,80,466,17,13,80,1,6,9,5,3,0,0,49,1416,40s,20,1416,2013-11
8799,1984,PhD,Married,38175.0,1,0,2013-09-23,6,70,6,69,2,3,3,3,3,1,4,7,0,0,41,153,40s,8,153,2013-09
67,1972,Master,Single,46423.0,1,1,2013-09-18,6,68,0,16,0,0,8,3,2,0,4,7,0,0,53,92,50s,6,92,2013-09
9923,1972,Master,Single,46423.0,1,1,2013-09-18,6,68,0,16,0,0,8,3,2,0,4,7,0,0,53,92,50s,6,92,2013-09
2814,1976,Master,Single,30560.0,1,0,2013-06-27,6,9,1,5,4,5,7,1,1,0,3,7,0,0,49,31,40s,4,31,2013-06
2711,1976,Master,Single,30560.0,1,0,2013-06-27,6,9,1,5,4,5,7,1,1,0,3,7,0,0,49,31,40s,4,31,2013-06
4320,1979,Bachelor,Single,60152.0,0,1,2013-03-28,6,325,83,300,86,58,91,1,6,4,12,3,0,0,46,943,40s,22,943,2013-03
10451,1965,Bachelor,Single,29672.0,1,1,2013-12-03,6,9,1,3,0,4,8,1,0,0,3,6,0,0,60,25,50s,3,25,2013-12
4198,1965,Bachelor,Single,29672.0,1,1,2013-12-03,6,9,1,3,0,4,8,1,0,0,3,6,0,0,60,25,50s,3,25,2013-12
10814,1947,Bachelor,Single,70321.0,0,0,2013-01-16,6,303,23,751,82,26,191,1,6,5,13,4,1,0,78,1376,70s,24,1376,2013-01
944,1962,Bachelor,Married,56181.0,0,1,2013-08-01,6,121,103,69,8,44,48,1,4,2,7,4,0,0,63,393,60s,13,393,2013-08
8151,1990,Basic,Married,24279.0,0,0,2012-12-29,6,16,36,21,20,62,108,1,4,1,3,8,0,0,35,263,30s,8,263,2012-12
6184,1969,PhD,Married,68462.0,0,0,2012-12-12,6,561,64,785,84,128,48,1,3,3,8,1,0,0,56,1670,50s,14,1670,2012-12
3498,1976,PhD,Married,55424.0,0,1,2012-11-25,6,462,61,184,10,53,107,4,7,5,9,6,1,0,49,877,40s,21,877,2012-11
2870,1973,Bachelor,Married,49094.0,0,1,2012-09-21,6,376,0,38,11,8,69,5,6,3,6,6,0,0,52,502,50s,15,502,2012-09
7342,1961,Master,Widow,59184.0,0,1,2012-09-09,6,341,142,113,259,151,66,3,6,6,12,5,0,0,64,1072,60s,24,1072,2012-09
1911,1987,Bachelor,Single,67430.0,0,0,2012-05-09,6,595,97,291,127,133,121,1,11,5,12,6,0,0,38,1364,30s,28,1364,2012-05
10862,1960,Master,Married,30522.0,0,1,2012-08-17,6,179,8,83,19,11,26,5,1,2,9,2,0,0,65,326,60s,12,326,2012-08
2546,1977,Master,Single,31878.0,0,1,2014-06-22,7,23,4,5,10,5,23,1,1,0,4,3,0,0,48,70,40s,5,70,2014-06
3005,1992,Bachelor,Single,83528.0,0,0,2014-01-05,7,530,117,678,134,44,147,1,4,10,8,1,1,0,33,1650,30s,22,1650,2014-01
8318,1979,Bachelor,Single,90300.0,0,0,2014-03-01,7,594,134,786,33,134,57,0,5,6,8,1,0,0,46,1738,40s,19,1738,2014-03
2930,1978,Master,Single,68092.0,0,0,2013-12-16,7,852,60,207,78,36,48,2,2,6,10,5,0,0,47,1281,40s,18,1281,2013-12
8216,1972,Master,Married,53761.0,1,1,2013-11-10,7,158,0,76,13,7,71,6,4,4,3,5,0,0,53,325,50s,11,325,2013-11
1212,1973,Bachelor,Married,52845.0,1,0,2013-08-13,7,384,25,292,130,41,64,3,8,8,6,6,0,0,52,936,50s,22,936,2013-08
2541,1976,Bachelor,Married,24027.0,1,0,2013-09-06,7,14,7,11,11,0,5,2,2,0,3,8,0,0,49,48,40s,5,48,2013-09
10659,1979,Master,Single,7500.0,1,0,2013-07-05,7,2,8,11,3,8,21,4,3,2,2,7,0,0,46,53,40s,7,53,2013-07
10905,1955,Bachelor,Single,42586.0,1,1,2012-10-29,7,194,2,56,0,0,0,5,4,1,6,8,1,0,70,252,60s,11,252,2012-10
8910,1955,Bachelor,Single,42586.0,1,1,2012-10-29,7,194,2,56,0,0,0,5,4,1,6,8,1,0,70,252,60s,11,252,2012-10
7349,1973,Basic,Single,9722.0,1,0,2012-02-10,7,6,17,16,6,16,42,4,3,1,3,8,1,0,52,103,50s,7,103,2012-02
7872,1975,PhD,Married,86836.0,0,0,2012-12-09,7,179,21,273,0,21,63,1,6,10,6,5,1,0,50,557,40s,22,557,2012-12
